ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 01:04:30,20.44
168.90.31.193,23/10/2020, 01:05:06,28.15
168.90.31.193,23/10/2020, 01:05:43,27.05
168.90.31.193,23/10/2020, 01:06:19,16.83
168.90.31.193,23/10/2020, 01:06:55,22.22
168.90.31.193,23/10/2020, 01:08:07,22.99
168.90.31.193,23/10/2020, 01:08:43,22.90
168.90.31.193,23/10/2020, 01:09:20,22.86
168.90.31.193,23/10/2020, 01:10:30,23.31
168.90.31.193,23/10/2020, 01:11:40,24.22
168.90.31.193,23/10/2020, 01:12:17,24.36
168.90.31.193,23/10/2020, 01:12:53,23.86
168.90.31.193,23/10/2020, 01:13:29,23.91
168.90.31.193,23/10/2020, 01:14:05,24.54
168.90.31.193,23/10/2020, 01:14:41,24.54
168.90.31.193,23/10/2020, 01:15:18,24.59
168.90.31.193,23/10/2020, 01:15:54,24.04
168.90.31.193,23/10/2020, 01:16:30,24.68
168.90.31.193,23/10/2020, 01:17:06,24.68
168.90.31.193,23/10/2020, 01:17:43,24.64
168.90.31.193,23/10/2020, 01:18:19,24.68
168.90.31.193,23/10/2020, 01:18:55,24.68
168.90.31.193,23/10/2020, 01:19:31,24.09
168.90.31.193,23/10/2020, 01:20:07,24.09
168.90.31.193,23/10/2020, 01:20:44,24.68
168.90.31.193,23/10/2020, 01:21:20,24.68
168.90.31.193,23/10/2020, 01:21:56,24.09
168.90.31.193,23/10/2020, 01:22:32,24.68
168.90.31.193,23/10/2020, 01:23:09,24.68
168.90.31.193,23/10/2020, 01:23:45,24.09
168.90.31.193,23/10/2020, 01:24:21,24.04
168.90.31.193,23/10/2020, 01:24:57,24.04
168.90.31.193,23/10/2020, 01:25:33,24.04
168.90.31.193,23/10/2020, 01:26:09,24.64
168.90.31.193,23/10/2020, 01:26:45,24.64
168.90.31.193,23/10/2020, 01:27:22,24.64
168.90.31.193,23/10/2020, 01:27:58,24.00
168.90.31.193,23/10/2020, 01:28:35,24.64
168.90.31.193,23/10/2020, 01:29:11,24.04
168.90.31.193,23/10/2020, 01:29:47,24.64
168.90.31.193,23/10/2020, 01:30:23,24.64
168.90.31.193,23/10/2020, 01:30:59,24.64
168.90.31.193,23/10/2020, 01:31:36,24.64
168.90.31.193,23/10/2020, 01:32:12,24.64
168.90.31.193,23/10/2020, 01:32:49,23.95
168.90.31.193,23/10/2020, 01:33:25,24.59
168.90.31.193,23/10/2020, 01:34:01,24.00
168.90.31.193,23/10/2020, 01:34:37,24.59
168.90.31.193,23/10/2020, 01:35:14,24.59
168.90.31.193,23/10/2020, 01:35:51,24.00
168.90.31.193,23/10/2020, 01:36:27,24.59
168.90.31.193,23/10/2020, 01:37:04,24.59
168.90.31.193,23/10/2020, 01:37:41,24.59
168.90.31.193,23/10/2020, 01:38:17,24.59
168.90.31.193,23/10/2020, 01:38:53,24.59
168.90.31.193,23/10/2020, 01:39:30,24.59
168.90.31.193,23/10/2020, 01:40:06,24.59
168.90.31.193,23/10/2020, 01:40:42,24.59
168.90.31.193,23/10/2020, 01:41:18,24.64
168.90.31.193,23/10/2020, 01:41:55,24.64
168.90.31.193,23/10/2020, 01:42:31,24.00
168.90.31.193,23/10/2020, 01:43:08,24.64
168.90.31.193,23/10/2020, 01:43:44,23.95
168.90.31.193,23/10/2020, 01:44:20,24.00
168.90.31.193,23/10/2020, 01:44:56,24.59
168.90.31.193,23/10/2020, 01:45:32,24.64
168.90.31.193,23/10/2020, 01:46:08,24.64
168.90.31.193,23/10/2020, 01:46:44,24.00
168.90.31.193,23/10/2020, 01:47:21,24.59
168.90.31.193,23/10/2020, 01:47:57,24.64
168.90.31.193,23/10/2020, 01:48:34,24.00
168.90.31.193,23/10/2020, 01:49:10,24.59
168.90.31.193,23/10/2020, 01:49:47,24.59
168.90.31.193,23/10/2020, 01:50:23,23.91
168.90.31.193,23/10/2020, 01:51:00,24.59
168.90.31.193,23/10/2020, 01:51:37,24.54
168.90.31.193,23/10/2020, 01:52:13,23.95
168.90.31.193,23/10/2020, 01:52:50,24.54
168.90.31.193,23/10/2020, 01:53:28,24.54
168.90.31.193,23/10/2020, 01:54:08,23.91
168.90.31.193,23/10/2020, 01:54:45,24.54
168.90.31.193,23/10/2020, 01:55:21,24.59
168.90.31.193,23/10/2020, 01:55:58,24.54
168.90.31.193,23/10/2020, 01:56:35,24.54
168.90.31.193,23/10/2020, 01:57:11,24.54
168.90.31.193,23/10/2020, 01:57:48,24.54
168.90.31.193,23/10/2020, 01:58:25,24.54
168.90.31.193,23/10/2020, 01:59:01,23.91
168.90.31.193,23/10/2020, 01:59:38,24.59
168.90.31.193,23/10/2020, 02:00:15,24.54
168.90.31.193,23/10/2020, 02:00:51,23.91
168.90.31.193,23/10/2020, 02:01:29,24.54
168.90.31.193,23/10/2020, 02:02:06,24.54
168.90.31.193,23/10/2020, 02:02:42,24.54
168.90.31.193,23/10/2020, 02:03:19,24.50
168.90.31.193,23/10/2020, 02:03:56,24.54
168.90.31.193,23/10/2020, 02:04:32,24.50
168.90.31.193,23/10/2020, 02:05:09,24.50
168.90.31.193,23/10/2020, 02:05:46,24.54
168.90.31.193,23/10/2020, 02:06:23,24.54
168.90.31.193,23/10/2020, 02:07:00,24.54
168.90.31.193,23/10/2020, 02:07:36,24.50
168.90.31.193,23/10/2020, 02:08:13,24.50
168.90.31.193,23/10/2020, 02:08:49,23.91
168.90.31.193,23/10/2020, 02:09:26,23.91
168.90.31.193,23/10/2020, 02:10:03,24.54
168.90.31.193,23/10/2020, 02:10:40,24.54
168.90.31.193,23/10/2020, 02:11:16,23.86
168.90.31.193,23/10/2020, 02:11:53,24.54
168.90.31.193,23/10/2020, 02:12:30,24.50
168.90.31.193,23/10/2020, 02:13:06,24.54
168.90.31.193,23/10/2020, 02:13:43,24.50
168.90.31.193,23/10/2020, 02:14:20,24.54
168.90.31.193,23/10/2020, 02:14:56,24.54
168.90.31.193,23/10/2020, 02:15:33,24.50
168.90.31.193,23/10/2020, 02:16:09,24.54
168.90.31.193,23/10/2020, 02:16:45,23.91
168.90.31.193,23/10/2020, 02:17:22,24.54
168.90.31.193,23/10/2020, 02:17:58,23.91
168.90.31.193,23/10/2020, 02:18:34,24.50
168.90.31.193,23/10/2020, 02:19:11,24.50
168.90.31.193,23/10/2020, 02:19:47,24.54
168.90.31.193,23/10/2020, 02:20:23,23.86
168.90.31.193,23/10/2020, 02:21:00,24.50
168.90.31.193,23/10/2020, 02:21:36,24.50
